NACE_1_1_CODE,en_Description,NACE_2007_CODE,NACE_2007_DESCRPTION,Comments
17.52,"Manufacture of cordage, rope, twine and netting",33.19,Repair of other equipment,Repair of fishing nets (including mending)
17.53,"Manufacture of non-wovens and articles made from non-wovens, except apparel",13.95,"Manufacture of non-wovens and articles made from non-wovens, except apparel",=
17.54,Manufacture of other textiles n.e.c.,13.96,Manufacture of other technical and industrial textiles,Technical and industrial textiles
17.54,Manufacture of other textiles n.e.c.,13.99,Manufacture of other textiles n.e.c.,"Except:
- ""technical and industrial textiles""
- manufacture of textile wadding and articles of wadding; sanitary towels, tampons"
17.54,Manufacture of other textiles n.e.c.,17.22,Manufacture of household and sanitary goods and of toilet requisites,"Manufacture of textile wadding and articles of wadding; sanitary towels, tampons"
17.6,Manufacture of knitted and crocheted fabrics,13.91,Manufacture of knitted and crocheted fabrics,All
17.71,Manufacture of knitted and crocheted hosiery,14.19,Manufacture of other wearing apparel and accessories,Manufacture of footwear of textile material without applied soles
17.71,Manufacture of knitted and crocheted hosiery,14.31,Manufacture of knitted and crocheted hosiery,Except manufacture of footwear of textile material without applied soles
17.72,"Manufacture of knitted and crocheted pullovers, cardigans and similar articles",14.39,Manufacture of other knitted and crocheted apparel,=
18.1,Manufacture of leather clothes,14.11,Manufacture of leather clothes,Except manufacture of fire-resistant and protective safety clothing
18.1,Manufacture of leather clothes,32.99,Other manufacturing n.e.c. ,Manufacture of fire-resistant and protective safety clothing
18.21,Manufacture of workwear,14.12,Manufacture of workwear,=
18.22,Manufacture of other outerwear,14.13,Manufacture of other outerwear,=
18.23,Manufacture of underwear,14.14,Manufacture of underwear,=
18.24,Manufacture of other wearing apparel and accessories n.e.c.,14.19,Manufacture of other wearing apparel and accessories,Except manufacture of fire-resistant and protective safety clothing
18.24,Manufacture of other wearing apparel and accessories n.e.c.,32.99,Other manufacturing n.e.c. ,Manufacture of fire-resistant and protective safety clothing
18.3,Dressing and dyeing of fur; manufacture of articles of fur,13.2,Weaving of textiles,Manufacture of imitation fur by weaving
18.3,Dressing and dyeing of fur; manufacture of articles of fur,13.91,Manufacture of knitted and crocheted fabrics,Manufacture of imitation fur by knitting
18.3,Dressing and dyeing of fur; manufacture of articles of fur,14.2,Manufacture of articles of fur,Except dressing and dyeing of fur and manufacture of imitation fur
18.3,Dressing and dyeing of fur; manufacture of articles of fur,15.11,Tanning and dressing of leather; dressing and dyeing of fur,Dressing and dyeing of fur
19.1,Tanning and dressing of leather,15.11,Tanning and dressing of leather; dressing and dyeing of fur,All
19.2,"Manufacture of luggage, handbags and the like, saddlery and harness",15.12,"Manufacture of luggage, handbags and the like, saddlery and harness",Except linemen’s safety belts and other belts for occupational use
19.2,"Manufacture of luggage, handbags and the like, saddlery and harness",32.99,Other manufacturing n.e.c. ,Linemen’s safety belts and other belts for occupational use
19.3,Manufacture of footwear,15.2,Manufacture of footwear,"Except: 
- plastic footwear parts 
- rubber boot and shoe heels and soles and other rubber footwear parts
- manufacture of wooden shoe parts (e.g. heels and lasts)"
19.3,Manufacture of footwear,16.29,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials",Wooden shoe parts
19.3,Manufacture of footwear,22.19,Manufacture of other rubber products,Rubber boot and shoe heels and soles and other rubber footwear parts
19.3,Manufacture of footwear,22.29,Manufacture of other plastic products,Plastic footwear parts
20.1,Sawmilling and planing of wood; impregnation of wood,16.1,Sawmilling and planing of wood,All
20.2,"Manufacture of veneer sheets; manufacture of plywood, laminboard, particle board, fibre board and other panels and boards",16.21,Manufacture of veneer sheets and wood-based panels,=
20.3,Manufacture of builders' carpentry and joinery,16.22,Manufacture of assembled parquet floors,"Parquet floor blocks, strips, etc., assembled into panels"
20.3,Manufacture of builders' carpentry and joinery,16.23,Manufacture of other builders' carpentry and joinery,"Except:
- parquet floor blocks, strips, etc., assembled into panels 
- assembly and installation of self-manufactured buildings of wood on site
- installation (erection) work of self-manufactured builders’ ware of wood
- roofing activities"
