"code","broader","label_en","label_fr","label_es","label_ru","alternative","definition","note","uri"
"26","C","Manufacture of computer, electronic and optical products","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/26"
"261","26","Manufacture of electronic components and boards","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/261"
"2610","261","Manufacture of electronic components and boards","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2610"
"262","26","Manufacture of computers and peripheral equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/262"
"2620","262","Manufacture of computers and peripheral equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2620"
"263","26","Manufacture of communication equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/263"
"2630","263","Manufacture of communication equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2630"
"264","26","Manufacture of consumer electronics","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/264"
"2640","264","Manufacture of consumer electronics","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2640"
"265","26","Manufacture of measuring, testing, navigating and control equipment; watches and clocks","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/265"
"2651","265","Manufacture of measuring, testing, navigating and control equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2651"
"2652","265","Manufacture of watches and clocks","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2652"
"266","26","Manufacture of irradiation, electromedical and electrotherapeutic equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/266"
"2660","266","Manufacture of irradiation, electromedical and electrotherapeutic equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2660"
"267","26","Manufacture of optical instruments and photographic equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/267"
"2670","267","Manufacture of optical instruments and photographic equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2670"
"268","26","Manufacture of magnetic and optical media","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/268"
"2680","268","Manufacture of magnetic and optical media","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2680"
"27","C","Manufacture of electrical equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/27"
"271","27","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/271"
"2710","271","Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2710"
"272","27","Manufacture of batteries and accumulators","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/272"
"2720","272","Manufacture of batteries and accumulators","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2720"
"273","27","Manufacture of wiring and wiring devices","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/273"
"2731","273","Manufacture of fibre optic cables","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2731"
"2732","273","Manufacture of other electronic and electric wires and cables","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2732"
"2733","273","Manufacture of wiring devices","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2733"
"274","27","Manufacture of electric lighting equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/274"
"2740","274","Manufacture of electric lighting equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2740"
"275","27","Manufacture of domestic appliances","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/275"
"2750","275","Manufacture of domestic appliances","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2750"
"279","27","Manufacture of other electrical equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/279"
"2790","279","Manufacture of other electrical equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2790"
"28","C","Manufacture of machinery and equipment n.e.c.","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/28"
"281","28","Manufacture of general-purpose machinery","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/281"
"2811","281","Manufacture of engines and turbines, except aircraft, vehicle and cycle engines","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2811"
"2812","281","Manufacture of fluid power equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2812"
"2813","281","Manufacture of other pumps, compressors, taps and valves","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2813"
"2814","281","Manufacture of bearings, gears, gearing and driving elements","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2814"
"2815","281","Manufacture of ovens, furnaces and furnace burners","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2815"
"2816","281","Manufacture of lifting and handling equipment","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2816"
"2817","281","Manufacture of office machinery and equipment (except computers and peripheral equipment)","","","","","","","https://unstats.un.org/classifications/ISIC/rev4/2817"
